filename,Title,Technique,Size,Year
image_001.jpg,"The great wave of ocean life","Watercolor on Handmade paper","30 in x 23 in",2025
image_002.jpg,"LA Fiery Carnation","Watercolor on Handmade paper","30 in x 23 in",2025
image_003.jpg,"Bluetooth butterfly","Watercolor on Handmade paper","30 in x 23 in",2024
image_004.jpg,"Androidbaby","Watercolor and Ink on Handmade paper","30 in x 23 in",2024
image_005.jpg,"Motherboard","Watercolor on Handmade paper","30 in x 23 in",2024
image_006.jpg,"Miss universe","Watercolor, Ink and Acrylic on Handmade paper","30 in x 23 in",2023
image_007.png,"Me with WIFI earring!","Watercolor on Rice paper","37 in x 25 in",2022
image_008.jpg,"Venus's Iphone","Watercolor on Rice paper","37 in x 25 in",2022
image_009.jpg,"Group selfie in Spring","watercolor on Rice paper","37inx25in",2022
image_010.jpg,"Waiting Mona Lisa","Watercolor on Rice paper","37 in x 25 in",2022
image_011.jpg,"Napoleon Crossing the Alps with IPhone","Watercolor on Rice paper",37 in x 25 in",2022
image_012.jpg,"Ethics of Technology","Watercolor on handmade paper","30 in x 23 in",2021
image_013.png,"Facial Recognition","Watercolor and Ink on handmade paper","30 in x 23 in",2019
image_014.jpg,"Atlas poses for instagram","Watercolor and Acrylic on handmade paper","30 in x 23 in",2020
image_015.jpg,"Digital Persona","Ink and Acrylic on handmade paper","30 in x 23 in",2020
image_016.png,"Selfi","Ink on paper","30 in x 23 in",2019
image_017.png,"Modern motherhood","Watercolor and Ink on handmade paper","30 in x 23 in",2020
image_018.jpg,"Wired Diva","Ink on handmade paper","30 in x 23 in",2020
image_019.png,"Play me Now!","Ink and Acrylic on handmade paper","30 in x 23 in",2019
image_020.png,"Breastfeeding Scroll","Watercolor and Ink on handmade paper","30 in x 23 in",2020
image_021.jpg,"Isolation Chip","watercolor on Rice paper","30 in x 23 in",2021
image_022.jpg,"Gazelle in New York (book cover)","Ink on handmade paper","30 in x 23 in",2019
image_023.jpg,"Talking Machine","Watercolor and Ink on handmade paper","30 in x 23 in",2019
image_024.jpg,"Me and MyPhone","Acrylic on canvas","30 in x 22 in",2019
image_025.jpg,"American Dream","Watercolor on handmade paper","30 in x 23 in",2020
image_026.jpg,"American Dream","Watercolor on handmade paper","30 in x 23 in",2020
image_027.jpg,"Healthcare and Data","Ink on handmade paper","30 in x 23 in",2020
image_028.jpg,"Black Dreams Matter","Watercolor and Ink on handmade paper","30 in x 23 in",2020
image_029.jpg,"Black Dreams Matter","Watercolor and Ink on handmade paper","30 in x 23 in",2020
image_030.jpg,"Floating Between Realities","Watercolor and ink on hand paper","37 in x 25 in",2020
image_031.jpg,"Dreams","Watercolor and Ink on handmade paper","30 in x 23 in",2019
image_032.png,"Watching you!","Watercolor and Ink on handmade paper","30 in x 22 in",2019
image_033.jpg,"Me with WIFI earring Black and White","Watercolor on Rice paper","37 in x 25 in",2020